iP,jD,Pset_req,d,P_calc,ZVS_pri,ZVS_sec,thumb_path
4,3,0.0219766041647,0.125916666667,0.0199731211894,1,1,C:\Users\lal\Working_Folder_C\SimulinkProject_ModularDAB3\05_Scripts\Analysis\DAB3_3level_optimization\DAB3_22_results\Lm_1e+06\hover_thumbs\3-3level_Lm1e+06_d125917_P021977.png
5,3,0.0293021388863,0.125916666667,0.0265653270267,1,1,C:\Users\lal\Working_Folder_C\SimulinkProject_ModularDAB3\05_Scripts\Analysis\DAB3_3level_optimization\DAB3_22_results\Lm_1e+06\hover_thumbs\3-3level_Lm1e+06_d125917_P029302.png
6,3,0.0366276736078,0.125916666667,0.033354325343,1,0,C:\Users\lal\Working_Folder_C\SimulinkProject_ModularDAB3\05_Scripts\Analysis\DAB3_3level_optimization\DAB3_22_results\Lm_1e+06\hover_thumbs\3-3level_Lm1e+06_d125917_P036628.png
7,3,0.0439532083294,0.125916666667,0.0396418891591,1,1,C:\Users\lal\Working_Folder_C\SimulinkProject_ModularDAB3\05_Scripts\Analysis\DAB3_3level_optimization\DAB3_22_results\Lm_1e+06\hover_thumbs\3-3level_Lm1e+06_d125917_P043953.png
8,3,0.051278743051,0.125916666667,0.0495394712112,1,1,C:\Users\lal\Working_Folder_C\SimulinkProject_ModularDAB3\05_Scripts\Analysis\DAB3_3level_optimization\DAB3_22_results\Lm_1e+06\hover_thumbs\3-3level_Lm1e+06_d125917_P051279.png
9,3,0.0586042777725,0.125916666667,0.056525958295,1,1,C:\Users\lal\Working_Folder_C\SimulinkProject_ModularDAB3\05_Scripts\Analysis\DAB3_3level_optimization\DAB3_22_results\Lm_1e+06\hover_thumbs\3-3level_Lm1e+06_d125917_P058604.png
10,3,0.0659298124941,0.125916666667,0.0627218731441,1,0,C:\Users\lal\Working_Folder_C\SimulinkProject_ModularDAB3\05_Scripts\Analysis\DAB3_3level_optimization\DAB3_22_results\Lm_1e+06\hover_thumbs\3-3level_Lm1e+06_d125917_P065930.png
1,4,0,0.188375,0.000295928350895,1,0,C:\Users\lal\Working_Folder_C\SimulinkProject_ModularDAB3\05_Scripts\Analysis\DAB3_3level_optimization\DAB3_22_results\Lm_1e+06\hover_thumbs\3-3level_Lm1e+06_d188375_P000001.png
2,4,0.0109592132615,0.188375,0.0100339123853,1,1,C:\Users\lal\Working_Folder_C\SimulinkProject_ModularDAB3\05_Scripts\Analysis\DAB3_3level_optimization\DAB3_22_results\Lm_1e+06\hover_thumbs\3-3level_Lm1e+06_d188375_P010959.png
3,4,0.021918426523,0.188375,0.0200780165431,1,1,C:\Users\lal\Working_Folder_C\SimulinkProject_ModularDAB3\05_Scripts\Analysis\DAB3_3level_optimization\DAB3_22_results\Lm_1e+06\hover_thumbs\3-3level_Lm1e+06_d188375_P021918.png
4,4,0.0328776397844,0.188375,0.029949174254,1,1,C:\Users\lal\Working_Folder_C\SimulinkProject_ModularDAB3\05_Scripts\Analysis\DAB3_3level_optimization\DAB3_22_results\Lm_1e+06\hover_thumbs\3-3level_Lm1e+06_d188375_P032878.png
5,4,0.0438368530459,0.188375,0.0396941185232,1,1,C:\Users\lal\Working_Folder_C\SimulinkProject_ModularDAB3\05_Scripts\Analysis\DAB3_3level_optimization\DAB3_22_results\Lm_1e+06\hover_thumbs\3-3level_Lm1e+06_d188375_P043837.png
6,4,0.0547960663074,0.188375,0.0544284562185,1,0,C:\Users\lal\Working_Folder_C\SimulinkProject_ModularDAB3\05_Scripts\Analysis\DAB3_3level_optimization\DAB3_22_results\Lm_1e+06\hover_thumbs\3-3level_Lm1e+06_d188375_P054796.png
7,4,0.0657552795689,0.188375,0.0642770168405,1,1,C:\Users\lal\Working_Folder_C\SimulinkProject_ModularDAB3\05_Scripts\Analysis\DAB3_3level_optimization\DAB3_22_results\Lm_1e+06\hover_thumbs\3-3level_Lm1e+06_d188375_P065755.png
8,4,0.0767144928304,0.188375,0.0744397172442,1,0,C:\Users\lal\Working_Folder_C\SimulinkProject_ModularDAB3\05_Scripts\Analysis\DAB3_3level_optimization\DAB3_22_results\Lm_1e+06\hover_thumbs\3-3level_Lm1e+06_d188375_P076714.png
9,4,0.0876737060918,0.188375,0.0842900593548,1,1,C:\Users\lal\Working_Folder_C\SimulinkProject_ModularDAB3\05_Scripts\Analysis\DAB3_3level_optimization\DAB3_22_results\Lm_1e+06\hover_thumbs\3-3level_Lm1e+06_d188375_P087674.png
10,4,0.0986329193533,0.188375,0.0938637321317,1,1,C:\Users\lal\Working_Folder_C\SimulinkProject_ModularDAB3\05_Scripts\Analysis\DAB3_3level_optimization\DAB3_22_results\Lm_1e+06\hover_thumbs\3-3level_Lm1e+06_d188375_P098633.png
1,5,0,0.250833333333,0.000349914165247,1,1,C:\Users\lal\Working_Folder_C\SimulinkProject_ModularDAB3\05_Scripts\Analysis\DAB3_3level_optimization\DAB3_22_results\Lm_1e+06\hover_thumbs\3-3level_Lm1e+06_d250833_P000001.png
2,5,0.0145928918014,0.250833333333,0.0134890334513,1,1,C:\Users\lal\Working_Folder_C\SimulinkProject_ModularDAB3\05_Scripts\Analysis\DAB3_3level_optimization\DAB3_22_results\Lm_1e+06\hover_thumbs\3-3level_Lm1e+06_d250833_P014593.png
3,5,0.0291857836028,0.250833333333,0.0265095444448,1,1,C:\Users\lal\Working_Folder_C\SimulinkProject_ModularDAB3\05_Scripts\Analysis\DAB3_3level_optimization\DAB3_22_results\Lm_1e+06\hover_thumbs\3-3level_Lm1e+06_d250833_P029186.png
4,5,0.0437786754042,0.250833333333,0.0398075515571,1,1,C:\Users\lal\Working_Folder_C\SimulinkProject_ModularDAB3\05_Scripts\Analysis\DAB3_3level_optimization\DAB3_22_results\Lm_1e+06\hover_thumbs\3-3level_Lm1e+06_d250833_P043779.png
5,5,0.0583715672056,0.250833333333,0.0528357228337,1,1,C:\Users\lal\Working_Folder_C\SimulinkProject_ModularDAB3\05_Scripts\Analysis\DAB3_3level_optimization\DAB3_22_results\Lm_1e+06\hover_thumbs\3-3level_Lm1e+06_d250833_P058372.png
6,5,0.072964459007,0.250833333333,0.0724861930685,1,1,C:\Users\lal\Working_Folder_C\SimulinkProject_ModularDAB3\05_Scripts\Analysis\DAB3_3level_optimization\DAB3_22_results\Lm_1e+06\hover_thumbs\3-3level_Lm1e+06_d250833_P072964.png
7,5,0.0875573508084,0.250833333333,0.0855753550146,1,1,C:\Users\lal\Working_Folder_C\SimulinkProject_ModularDAB3\05_Scripts\Analysis\DAB3_3level_optimization\DAB3_22_results\Lm_1e+06\hover_thumbs\3-3level_Lm1e+06_d250833_P087557.png
8,5,0.10215024261,0.250833333333,0.0990068575333,1,1,C:\Users\lal\Working_Folder_C\SimulinkProject_ModularDAB3\05_Scripts\Analysis\DAB3_3level_optimization\DAB3_22_results\Lm_1e+06\hover_thumbs\3-3level_Lm1e+06_d250833_P102150.png
9,5,0.116743134411,0.250833333333,0.112086869697,1,1,C:\Users\lal\Working_Folder_C\SimulinkProject_ModularDAB3\05_Scripts\Analysis\DAB3_3level_optimization\DAB3_22_results\Lm_1e+06\hover_thumbs\3-3level_Lm1e+06_d250833_P116743.png
10,5,0.131336026213,0.250833333333,0.124887825314,1,1,C:\Users\lal\Working_Folder_C\SimulinkProject_ModularDAB3\05_Scripts\Analysis\DAB3_3level_optimization\DAB3_22_results\Lm_1e+06\hover_thumbs\3-3level_Lm1e+06_d250833_P131336.png
