iP,jD,Pset_req,d,P_calc,ZVS_pri,ZVS_sec,thumb_path
1,1,0,0.001,1.57002970153e-05,1,0,C:\Users\lal\Working_Folder_C\SimulinkProject_ModularDAB3\05_Scripts\Analysis\DAB3_3level_optimization\DAB3_32_results\Lm_10\hover_thumbs\3-3level_Lm10_d001000_P000001.png
2,1,5.81776417331e-05,0.001,1.57002970153e-05,1,0,C:\Users\lal\Working_Folder_C\SimulinkProject_ModularDAB3\05_Scripts\Analysis\DAB3_3level_optimization\DAB3_32_results\Lm_10\hover_thumbs\3-3level_Lm10_d001000_P000058.png
3,1,0.000116355283466,0.001,1.57002970153e-05,1,0,C:\Users\lal\Working_Folder_C\SimulinkProject_ModularDAB3\05_Scripts\Analysis\DAB3_3level_optimization\DAB3_32_results\Lm_10\hover_thumbs\3-3level_Lm10_d001000_P000116.png
4,1,0.000174532925199,0.001,1.57002970153e-05,1,0,C:\Users\lal\Working_Folder_C\SimulinkProject_ModularDAB3\05_Scripts\Analysis\DAB3_3level_optimization\DAB3_32_results\Lm_10\hover_thumbs\3-3level_Lm10_d001000_P000175.png
5,1,0.000232710566933,0.001,1.57002970153e-05,1,0,C:\Users\lal\Working_Folder_C\SimulinkProject_ModularDAB3\05_Scripts\Analysis\DAB3_3level_optimization\DAB3_32_results\Lm_10\hover_thumbs\3-3level_Lm10_d001000_P000233.png
6,1,0.000290888208666,0.001,3.12260296862e-05,1,0,C:\Users\lal\Working_Folder_C\SimulinkProject_ModularDAB3\05_Scripts\Analysis\DAB3_3level_optimization\DAB3_32_results\Lm_10\hover_thumbs\3-3level_Lm10_d001000_P000291.png
7,1,0.000349065850399,0.001,3.12260296862e-05,1,0,C:\Users\lal\Working_Folder_C\SimulinkProject_ModularDAB3\05_Scripts\Analysis\DAB3_3level_optimization\DAB3_32_results\Lm_10\hover_thumbs\3-3level_Lm10_d001000_P000349.png
8,1,0.000407243492132,0.001,3.12260296862e-05,1,0,C:\Users\lal\Working_Folder_C\SimulinkProject_ModularDAB3\05_Scripts\Analysis\DAB3_3level_optimization\DAB3_32_results\Lm_10\hover_thumbs\3-3level_Lm10_d001000_P000407.png
9,1,0.000465421133865,0.001,3.12260296862e-05,1,0,C:\Users\lal\Working_Folder_C\SimulinkProject_ModularDAB3\05_Scripts\Analysis\DAB3_3level_optimization\DAB3_32_results\Lm_10\hover_thumbs\3-3level_Lm10_d001000_P000465.png
10,1,0.000523598775598,0.001,5.37157988776e-05,1,0,C:\Users\lal\Working_Folder_C\SimulinkProject_ModularDAB3\05_Scripts\Analysis\DAB3_3level_optimization\DAB3_32_results\Lm_10\hover_thumbs\3-3level_Lm10_d001000_P000524.png
1,2,0,0.0634583333333,0.00139207235969,0,1,C:\Users\lal\Working_Folder_C\SimulinkProject_ModularDAB3\05_Scripts\Analysis\DAB3_3level_optimization\DAB3_32_results\Lm_10\hover_thumbs\3-3level_Lm10_d063458_P000001.png
2,2,0.00369185618165,0.0634583333333,0.00349403782117,1,1,C:\Users\lal\Working_Folder_C\SimulinkProject_ModularDAB3\05_Scripts\Analysis\DAB3_3level_optimization\DAB3_32_results\Lm_10\hover_thumbs\3-3level_Lm10_d063458_P003692.png
3,2,0.0073837123633,0.0634583333333,0.0068978680774,1,1,C:\Users\lal\Working_Folder_C\SimulinkProject_ModularDAB3\05_Scripts\Analysis\DAB3_3level_optimization\DAB3_32_results\Lm_10\hover_thumbs\3-3level_Lm10_d063458_P007384.png
4,2,0.0110755685449,0.0634583333333,0.0118848895477,1,1,C:\Users\lal\Working_Folder_C\SimulinkProject_ModularDAB3\05_Scripts\Analysis\DAB3_3level_optimization\DAB3_32_results\Lm_10\hover_thumbs\3-3level_Lm10_d063458_P011076.png
5,2,0.0147674247266,0.0634583333333,0.0152276975086,1,1,C:\Users\lal\Working_Folder_C\SimulinkProject_ModularDAB3\05_Scripts\Analysis\DAB3_3level_optimization\DAB3_32_results\Lm_10\hover_thumbs\3-3level_Lm10_d063458_P014767.png
6,2,0.0184592809082,0.0634583333333,0.0183312492632,1,1,C:\Users\lal\Working_Folder_C\SimulinkProject_ModularDAB3\05_Scripts\Analysis\DAB3_3level_optimization\DAB3_32_results\Lm_10\hover_thumbs\3-3level_Lm10_d063458_P018459.png
7,2,0.0221511370899,0.0634583333333,0.0235055385599,1,1,C:\Users\lal\Working_Folder_C\SimulinkProject_ModularDAB3\05_Scripts\Analysis\DAB3_3level_optimization\DAB3_32_results\Lm_10\hover_thumbs\3-3level_Lm10_d063458_P022151.png
8,2,0.0258429932715,0.0634583333333,0.0267449619202,1,1,C:\Users\lal\Working_Folder_C\SimulinkProject_ModularDAB3\05_Scripts\Analysis\DAB3_3level_optimization\DAB3_32_results\Lm_10\hover_thumbs\3-3level_Lm10_d063458_P025843.png
9,2,0.0295348494532,0.0634583333333,0.030081235196,1,0,C:\Users\lal\Working_Folder_C\SimulinkProject_ModularDAB3\05_Scripts\Analysis\DAB3_3level_optimization\DAB3_32_results\Lm_10\hover_thumbs\3-3level_Lm10_d063458_P029535.png
10,2,0.0332267056348,0.0634583333333,0.0315761877243,1,0,C:\Users\lal\Working_Folder_C\SimulinkProject_ModularDAB3\05_Scripts\Analysis\DAB3_3level_optimization\DAB3_32_results\Lm_10\hover_thumbs\3-3level_Lm10_d063458_P033227.png
1,3,0,0.125916666667,0.00514462215225,0,1,C:\Users\lal\Working_Folder_C\SimulinkProject_ModularDAB3\05_Scripts\Analysis\DAB3_3level_optimization\DAB3_32_results\Lm_10\hover_thumbs\3-3level_Lm10_d125917_P000001.png
2,3,0.00732553472157,0.125916666667,0.00866998595502,0,1,C:\Users\lal\Working_Folder_C\SimulinkProject_ModularDAB3\05_Scripts\Analysis\DAB3_3level_optimization\DAB3_32_results\Lm_10\hover_thumbs\3-3level_Lm10_d125917_P007326.png
3,3,0.0146510694431,0.125916666667,0.0136963102823,1,1,C:\Users\lal\Working_Folder_C\SimulinkProject_ModularDAB3\05_Scripts\Analysis\DAB3_3level_optimization\DAB3_32_results\Lm_10\hover_thumbs\3-3level_Lm10_d125917_P014651.png
4,3,0.0219766041647,0.125916666667,0.0203190044544,1,1,C:\Users\lal\Working_Folder_C\SimulinkProject_ModularDAB3\05_Scripts\Analysis\DAB3_3level_optimization\DAB3_32_results\Lm_10\hover_thumbs\3-3level_Lm10_d125917_P021977.png
5,3,0.0293021388863,0.125916666667,0.027279695238,1,1,C:\Users\lal\Working_Folder_C\SimulinkProject_ModularDAB3\05_Scripts\Analysis\DAB3_3level_optimization\DAB3_32_results\Lm_10\hover_thumbs\3-3level_Lm10_d125917_P029302.png
6,3,0.0366276736078,0.125916666667,0.0331696704376,1,1,C:\Users\lal\Working_Folder_C\SimulinkProject_ModularDAB3\05_Scripts\Analysis\DAB3_3level_optimization\DAB3_32_results\Lm_10\hover_thumbs\3-3level_Lm10_d125917_P036628.png
7,3,0.0439532083294,0.125916666667,0.0399125831622,1,1,C:\Users\lal\Working_Folder_C\SimulinkProject_ModularDAB3\05_Scripts\Analysis\DAB3_3level_optimization\DAB3_32_results\Lm_10\hover_thumbs\3-3level_Lm10_d125917_P043953.png
8,3,0.051278743051,0.125916666667,0.0495724756793,1,1,C:\Users\lal\Working_Folder_C\SimulinkProject_ModularDAB3\05_Scripts\Analysis\DAB3_3level_optimization\DAB3_32_results\Lm_10\hover_thumbs\3-3level_Lm10_d125917_P051279.png
9,3,0.0586042777725,0.125916666667,0.0563237043034,1,1,C:\Users\lal\Working_Folder_C\SimulinkProject_ModularDAB3\05_Scripts\Analysis\DAB3_3level_optimization\DAB3_32_results\Lm_10\hover_thumbs\3-3level_Lm10_d125917_P058604.png
10,3,0.0659298124941,0.125916666667,0.0626547861477,1,0,C:\Users\lal\Working_Folder_C\SimulinkProject_ModularDAB3\05_Scripts\Analysis\DAB3_3level_optimization\DAB3_32_results\Lm_10\hover_thumbs\3-3level_Lm10_d125917_P065930.png
1,4,0,0.188375,0.0108984493068,0,1,C:\Users\lal\Working_Folder_C\SimulinkProject_ModularDAB3\05_Scripts\Analysis\DAB3_3level_optimization\DAB3_32_results\Lm_10\hover_thumbs\3-3level_Lm10_d188375_P000001.png
2,4,0.0109592132615,0.188375,0.0145241634619,0,1,C:\Users\lal\Working_Folder_C\SimulinkProject_ModularDAB3\05_Scripts\Analysis\DAB3_3level_optimization\DAB3_32_results\Lm_10\hover_thumbs\3-3level_Lm10_d188375_P010959.png
3,4,0.021918426523,0.188375,0.0228355331431,0,1,C:\Users\lal\Working_Folder_C\SimulinkProject_ModularDAB3\05_Scripts\Analysis\DAB3_3level_optimization\DAB3_32_results\Lm_10\hover_thumbs\3-3level_Lm10_d188375_P021918.png
4,4,0.0328776397844,0.188375,0.0298243931055,1,1,C:\Users\lal\Working_Folder_C\SimulinkProject_ModularDAB3\05_Scripts\Analysis\DAB3_3level_optimization\DAB3_32_results\Lm_10\hover_thumbs\3-3level_Lm10_d188375_P032878.png
5,4,0.0438368530459,0.188375,0.0394403510845,1,1,C:\Users\lal\Working_Folder_C\SimulinkProject_ModularDAB3\05_Scripts\Analysis\DAB3_3level_optimization\DAB3_32_results\Lm_10\hover_thumbs\3-3level_Lm10_d188375_P043837.png
6,4,0.0547960663074,0.188375,0.0553510661195,1,1,C:\Users\lal\Working_Folder_C\SimulinkProject_ModularDAB3\05_Scripts\Analysis\DAB3_3level_optimization\DAB3_32_results\Lm_10\hover_thumbs\3-3level_Lm10_d188375_P054796.png
7,4,0.0657552795689,0.188375,0.0651964218375,1,1,C:\Users\lal\Working_Folder_C\SimulinkProject_ModularDAB3\05_Scripts\Analysis\DAB3_3level_optimization\DAB3_32_results\Lm_10\hover_thumbs\3-3level_Lm10_d188375_P065755.png
8,4,0.0767144928304,0.188375,0.0743246277492,1,1,C:\Users\lal\Working_Folder_C\SimulinkProject_ModularDAB3\05_Scripts\Analysis\DAB3_3level_optimization\DAB3_32_results\Lm_10\hover_thumbs\3-3level_Lm10_d188375_P076714.png
9,4,0.0876737060918,0.188375,0.0844225908668,1,1,C:\Users\lal\Working_Folder_C\SimulinkProject_ModularDAB3\05_Scripts\Analysis\DAB3_3level_optimization\DAB3_32_results\Lm_10\hover_thumbs\3-3level_Lm10_d188375_P087674.png
10,4,0.0986329193533,0.188375,0.0936985745191,1,1,C:\Users\lal\Working_Folder_C\SimulinkProject_ModularDAB3\05_Scripts\Analysis\DAB3_3level_optimization\DAB3_32_results\Lm_10\hover_thumbs\3-3level_Lm10_d188375_P098633.png
1,5,0,0.250833333333,0.017836165288,0,1,C:\Users\lal\Working_Folder_C\SimulinkProject_ModularDAB3\05_Scripts\Analysis\DAB3_3level_optimization\DAB3_32_results\Lm_10\hover_thumbs\3-3level_Lm10_d250833_P000001.png
2,5,0.0145928918014,0.250833333333,0.0220713876394,0,1,C:\Users\lal\Working_Folder_C\SimulinkProject_ModularDAB3\05_Scripts\Analysis\DAB3_3level_optimization\DAB3_32_results\Lm_10\hover_thumbs\3-3level_Lm10_d250833_P014593.png
3,5,0.0291857836028,0.250833333333,0.0262364537769,1,1,C:\Users\lal\Working_Folder_C\SimulinkProject_ModularDAB3\05_Scripts\Analysis\DAB3_3level_optimization\DAB3_32_results\Lm_10\hover_thumbs\3-3level_Lm10_d250833_P029186.png
4,5,0.0437786754042,0.250833333333,0.0456844348314,1,1,C:\Users\lal\Working_Folder_C\SimulinkProject_ModularDAB3\05_Scripts\Analysis\DAB3_3level_optimization\DAB3_32_results\Lm_10\hover_thumbs\3-3level_Lm10_d250833_P043779.png
5,5,0.0583715672056,0.250833333333,0.0534414053394,1,1,C:\Users\lal\Working_Folder_C\SimulinkProject_ModularDAB3\05_Scripts\Analysis\DAB3_3level_optimization\DAB3_32_results\Lm_10\hover_thumbs\3-3level_Lm10_d250833_P058372.png
6,5,0.072964459007,0.250833333333,0.0722543394697,1,1,C:\Users\lal\Working_Folder_C\SimulinkProject_ModularDAB3\05_Scripts\Analysis\DAB3_3level_optimization\DAB3_32_results\Lm_10\hover_thumbs\3-3level_Lm10_d250833_P072964.png
7,5,0.0875573508084,0.250833333333,0.0858576466912,1,1,C:\Users\lal\Working_Folder_C\SimulinkProject_ModularDAB3\05_Scripts\Analysis\DAB3_3level_optimization\DAB3_32_results\Lm_10\hover_thumbs\3-3level_Lm10_d250833_P087557.png
8,5,0.10215024261,0.250833333333,0.0986720708509,1,1,C:\Users\lal\Working_Folder_C\SimulinkProject_ModularDAB3\05_Scripts\Analysis\DAB3_3level_optimization\DAB3_32_results\Lm_10\hover_thumbs\3-3level_Lm10_d250833_P102150.png
9,5,0.116743134411,0.250833333333,0.112172909965,1,1,C:\Users\lal\Working_Folder_C\SimulinkProject_ModularDAB3\05_Scripts\Analysis\DAB3_3level_optimization\DAB3_32_results\Lm_10\hover_thumbs\3-3level_Lm10_d250833_P116743.png
10,5,0.131336026213,0.250833333333,0.124995825848,1,1,C:\Users\lal\Working_Folder_C\SimulinkProject_ModularDAB3\05_Scripts\Analysis\DAB3_3level_optimization\DAB3_32_results\Lm_10\hover_thumbs\3-3level_Lm10_d250833_P131336.png
1,6,0,0.313291666667,0.0257796873396,0,1,C:\Users\lal\Working_Folder_C\SimulinkProject_ModularDAB3\05_Scripts\Analysis\DAB3_3level_optimization\DAB3_32_results\Lm_10\hover_thumbs\3-3level_Lm10_d313292_P000001.png
2,6,0.0182265703413,0.313291666667,0.0292445600021,0,1,C:\Users\lal\Working_Folder_C\SimulinkProject_ModularDAB3\05_Scripts\Analysis\DAB3_3level_optimization\DAB3_32_results\Lm_10\hover_thumbs\3-3level_Lm10_d313292_P018227.png
3,6,0.0364531406826,0.313291666667,0.0340860620625,1,1,C:\Users\lal\Working_Folder_C\SimulinkProject_ModularDAB3\05_Scripts\Analysis\DAB3_3level_optimization\DAB3_32_results\Lm_10\hover_thumbs\3-3level_Lm10_d313292_P036453.png
4,6,0.0546797110239,0.313291666667,0.0572393957681,1,1,C:\Users\lal\Working_Folder_C\SimulinkProject_ModularDAB3\05_Scripts\Analysis\DAB3_3level_optimization\DAB3_32_results\Lm_10\hover_thumbs\3-3level_Lm10_d313292_P054680.png
5,6,0.0729062813653,0.313291666667,0.0749935042043,1,1,C:\Users\lal\Working_Folder_C\SimulinkProject_ModularDAB3\05_Scripts\Analysis\DAB3_3level_optimization\DAB3_32_results\Lm_10\hover_thumbs\3-3level_Lm10_d313292_P072906.png
6,6,0.0911328517066,0.313291666667,0.0905119014929,1,1,C:\Users\lal\Working_Folder_C\SimulinkProject_ModularDAB3\05_Scripts\Analysis\DAB3_3level_optimization\DAB3_32_results\Lm_10\hover_thumbs\3-3level_Lm10_d313292_P091133.png
7,6,0.109359422048,0.313291666667,0.106537373124,1,1,C:\Users\lal\Working_Folder_C\SimulinkProject_ModularDAB3\05_Scripts\Analysis\DAB3_3level_optimization\DAB3_32_results\Lm_10\hover_thumbs\3-3level_Lm10_d313292_P109359.png
8,6,0.127585992389,0.313291666667,0.123215147623,1,1,C:\Users\lal\Working_Folder_C\SimulinkProject_ModularDAB3\05_Scripts\Analysis\DAB3_3level_optimization\DAB3_32_results\Lm_10\hover_thumbs\3-3level_Lm10_d313292_P127586.png
9,6,0.145812562731,0.313291666667,0.148428351188,1,1,C:\Users\lal\Working_Folder_C\SimulinkProject_ModularDAB3\05_Scripts\Analysis\DAB3_3level_optimization\DAB3_32_results\Lm_10\hover_thumbs\3-3level_Lm10_d313292_P145813.png
10,6,0.164039133072,0.313291666667,0.156101720896,1,1,C:\Users\lal\Working_Folder_C\SimulinkProject_ModularDAB3\05_Scripts\Analysis\DAB3_3level_optimization\DAB3_32_results\Lm_10\hover_thumbs\3-3level_Lm10_d313292_P164039.png
1,7,0,0.37575,0.0346616027556,0,1,C:\Users\lal\Working_Folder_C\SimulinkProject_ModularDAB3\05_Scripts\Analysis\DAB3_3level_optimization\DAB3_32_results\Lm_10\hover_thumbs\3-3level_Lm10_d375750_P000001.png
2,7,0.0218602488812,0.37575,0.0267208486571,1,1,C:\Users\lal\Working_Folder_C\SimulinkProject_ModularDAB3\05_Scripts\Analysis\DAB3_3level_optimization\DAB3_32_results\Lm_10\hover_thumbs\3-3level_Lm10_d375750_P021860.png
3,7,0.0437204977625,0.37575,0.0482945118399,1,1,C:\Users\lal\Working_Folder_C\SimulinkProject_ModularDAB3\05_Scripts\Analysis\DAB3_3level_optimization\DAB3_32_results\Lm_10\hover_thumbs\3-3level_Lm10_d375750_P043720.png
4,7,0.0655807466437,0.37575,0.0680813446452,1,1,C:\Users\lal\Working_Folder_C\SimulinkProject_ModularDAB3\05_Scripts\Analysis\DAB3_3level_optimization\DAB3_32_results\Lm_10\hover_thumbs\3-3level_Lm10_d375750_P065581.png
5,7,0.0874409955249,0.37575,0.0843779358776,1,1,C:\Users\lal\Working_Folder_C\SimulinkProject_ModularDAB3\05_Scripts\Analysis\DAB3_3level_optimization\DAB3_32_results\Lm_10\hover_thumbs\3-3level_Lm10_d375750_P087441.png
6,7,0.109301244406,0.37575,0.108002381613,1,1,C:\Users\lal\Working_Folder_C\SimulinkProject_ModularDAB3\05_Scripts\Analysis\DAB3_3level_optimization\DAB3_32_results\Lm_10\hover_thumbs\3-3level_Lm10_d375750_P109301.png
7,7,0.131161493287,0.37575,0.128021474152,1,1,C:\Users\lal\Working_Folder_C\SimulinkProject_ModularDAB3\05_Scripts\Analysis\DAB3_3level_optimization\DAB3_32_results\Lm_10\hover_thumbs\3-3level_Lm10_d375750_P131161.png
8,7,0.153021742169,0.37575,0.147672417275,1,1,C:\Users\lal\Working_Folder_C\SimulinkProject_ModularDAB3\05_Scripts\Analysis\DAB3_3level_optimization\DAB3_32_results\Lm_10\hover_thumbs\3-3level_Lm10_d375750_P153022.png
9,7,0.17488199105,0.37575,0.16723654117,1,1,C:\Users\lal\Working_Folder_C\SimulinkProject_ModularDAB3\05_Scripts\Analysis\DAB3_3level_optimization\DAB3_32_results\Lm_10\hover_thumbs\3-3level_Lm10_d375750_P174882.png
10,7,0.196742239931,0.37575,0.187559465589,1,1,C:\Users\lal\Working_Folder_C\SimulinkProject_ModularDAB3\05_Scripts\Analysis\DAB3_3level_optimization\DAB3_32_results\Lm_10\hover_thumbs\3-3level_Lm10_d375750_P196742.png
1,8,0,0.438208333333,0.0426825069592,0,1,C:\Users\lal\Working_Folder_C\SimulinkProject_ModularDAB3\05_Scripts\Analysis\DAB3_3level_optimization\DAB3_32_results\Lm_10\hover_thumbs\3-3level_Lm10_d438208_P000001.png
2,8,0.0254939274211,0.438208333333,0.0311814711797,1,1,C:\Users\lal\Working_Folder_C\SimulinkProject_ModularDAB3\05_Scripts\Analysis\DAB3_3level_optimization\DAB3_32_results\Lm_10\hover_thumbs\3-3level_Lm10_d438208_P025494.png
3,8,0.0509878548423,0.438208333333,0.0571943227894,1,1,C:\Users\lal\Working_Folder_C\SimulinkProject_ModularDAB3\05_Scripts\Analysis\DAB3_3level_optimization\DAB3_32_results\Lm_10\hover_thumbs\3-3level_Lm10_d438208_P050988.png
4,8,0.0764817822634,0.438208333333,0.0798399658373,1,1,C:\Users\lal\Working_Folder_C\SimulinkProject_ModularDAB3\05_Scripts\Analysis\DAB3_3level_optimization\DAB3_32_results\Lm_10\hover_thumbs\3-3level_Lm10_d438208_P076482.png
5,8,0.101975709685,0.438208333333,0.0977841270992,1,1,C:\Users\lal\Working_Folder_C\SimulinkProject_ModularDAB3\05_Scripts\Analysis\DAB3_3level_optimization\DAB3_32_results\Lm_10\hover_thumbs\3-3level_Lm10_d438208_P101976.png
6,8,0.127469637106,0.438208333333,0.126466702329,1,1,C:\Users\lal\Working_Folder_C\SimulinkProject_ModularDAB3\05_Scripts\Analysis\DAB3_3level_optimization\DAB3_32_results\Lm_10\hover_thumbs\3-3level_Lm10_d438208_P127470.png
